,polarity,date,tweet,tweet_processed,tweet_processed2
313,,2019-12-30 13:53:57+00:00," @Julie_Hammett: ""Les négociations"" autour de la #RéformeDesRetraites ""sont en cours.."" cc @Djebbari_JB. @ManonAubryFr: ""Ce n'était pas de la négociation pendant deux ans ! À quelles demandes de @lacgtcommunique le gouvernement a répondu ?"". #LaMatinaleLCI #FranceInsoumise",julie_hammett `` négociations '' autour réformedesretraites `` cours.. '' cc djebbari_jb manonaubryfr `` n'était négociation pendant deux ans quelles demandes lacgtcommunique gouvernement répondu '' lamatinalelci franceinsoumise,julie_hammett `` négociation '' autour réformedesretraiter `` cours .. '' cc djebbari_jb manonaubryfr `` ne être négociation pendre deux an quel demande lacgtcommuniqu gouvernement répondre '' lamatinalelci franceinsoumise
314,,2019-12-30 13:53:34+00:00,"Tout doucement et malgré les efforts des invités des #telestoutinfo, malgré les déclarations fracassantes de la #CGT, #SudRail et #FO, malgré les appels à la révolution de l'#extremegauche, la #greve contre la #reformedesretraites est en train de faire un flop ",tout doucement malgré efforts invités telestoutinfo malgré déclarations fracassantes cgt sudrail fo malgré appels révolution extremegauche greve contre reformedesretraites train faire flop,tout doucement malgré effort inviter telestoutinfo malgré déclaration fracassant cgt sudrail fo malgré appel révolution extremegauch grev contrer reformedesretraite train faire flop
315,,2019-12-30 13:50:38+00:00,"Les #medias installent les #relents de langage de l'#allocution du #PR qui va donner l'illusion du bien-fondé des principes de la #reformedesretraites. En réalité pillage : 4 mds/an non versés par salaires &gt;10k€/mois, 0 pb financier et #régimes #spécifiques multiples #Retraites",medias installent relents langage allocution pr va donner l'illusion bien-fondé principes reformedesretraites réalité pillage mds/an non versés salaires gt 10k€/mois pb financier régimes spécifiques multiples retraites,media installer relent langage allocution pr aller donner le illusion bien-fondé principe reformedesretraiter réalité pillage mds / an non verser salaire gt 10k€/mois pb financier régime spécifique multiple retraite
316,,2019-12-30 13:50:10+00:00,Il est celui qui vole les gens pour donner aux riches #Macron #GiletsJaunes #Retraites #greve30decembre #reformedesretraites ,celui vole gens donner riches macron giletsjaunes retraites greve30decembre reformedesretraites,celui voler gen donner riche macron giletsjaune retrait greve30decembre reformedesretraiter
317,,2019-12-30 13:49:19+00:00," #RéformeDesRetraites : qu'attend @ManonAubryFr des #VoeuxDeMacron2020, demain ? ""Il vaut mieux tard que jamais mais malheureusement, les signes donnés jusqu'à présent ne vont pas dans la bonne direction"". @Julie_Hammett #LaMatinaleLCI.",réformedesretraites qu'attend manonaubryfr voeuxdemacron2020 demain `` vaut mieux tard jamais malheureusement signes donnés jusqu présent vont bonne direction '' julie_hammett lamatinalelci,réformedesretraiter que attendre manonaubryfr voeuxdemacron2020 demain `` valoir mieux tard jamais malheureusement sign donner jusqu présent aller bon direction '' julie_hammett lamatinalelci
318,,2019-12-30 13:48:42+00:00," @JulienBargeton (@senateursLaREM), sur le projet de #RéformeDesRetraites : ""Les syndicats, @lacgtcommunique @force_ouvriere, qui sont dans une attitude radicale, font perdre du temps à la France"". #CVFDB avec @Tof_Beaugrand.",julienbargeton senateurslarem projet réformedesretraites `` syndicats lacgtcommunique force_ouvriere attitude radicale font perdre temps france '' cvfdb tof_beaugrand,julienbargeton senateurslarem projet réformedesretraiter `` syndicat lacgtcommuniqu force_ouvriere attitude radical faire perdre temps france '' cvfdb tof_beaugrand
319,,2019-12-30 13:46:21+00:00,#reformedesretraites Contrairement aux #Médias français La presse américaine n'est pas optimiste sur le sort de #macron The Fury in France Could the latest round of strikes spell the beginning of the end for #Macron,reformedesretraites contrairement médias français presse américaine n'est optimiste sort macron the fury in france could the latest round of strikes spell the beginning of the end for macron,reformedesretraiter contrairement média français presser américain ne être optimiste sortir macron the fury in france could the latest round of strike spell the beginning of the end for macron
320,,2019-12-30 13:45:27+00:00,"Samedi, Jérôme Rodrigues a été blessé à l’œil droit, déjà mutilé. Et à Asnières-sur-Seine, des soutiens de grévistes #RATP ont été brutalement délogés. #ViolencesPolicieres #GiletsJaunes #reformedesretraites http://bit.ly/2Q839PK",samedi jérôme rodrigues blessé œil droit déjà mutilé asnières-sur-seine soutiens grévistes ratp brutalement délogés violencespolicieres giletsjaunes reformedesretraites http //bit.ly/2q839pk,samedi jérôm rodrigu blesser œil droit déjà mutiler asnièr - sur - seine soutien grévist ratp brutalement délogé violencespolicier giletsjaun reformedesretraiter http //bit.ly/2q839pk
321,,2019-12-30 13:42:54+00:00, Découvrez le nouveau dossier ECF « Réforme des retraites : spoliation légale pour les experts-comptables et les commissaires aux comptes » https://bit.ly/2Q1W7KU #CAC #EC #ReformeDesRetraites ,découvrez nouveau dossier ecf réforme retraites spoliation légale experts-comptables commissaires comptes https //bit.ly/2q1w7ku cac ec reformedesretraites,découvrir nouveau dossier ecf réformer retrait spoliation légal expert-comptable commissair compte https //bit.ly/2q1w7ku cac ec reformedesretraite
322,,2019-12-30 13:39:08+00:00,#FiersDeLaGreve #retraite #Retraites #ReformeRetraites #reformedesretraites #macronie Retraites : violences médiatiques en continu contre les grévistes - Acrimed | Action Critique Médias,fiersdelagreve retraite retraites reformeretraites reformedesretraites macronie retraites violences médiatiques continu contre grévistes acrimed action critique médias,fiersdelagreve retraiter retrait reformeretrait reformedesretraite macronie retrait violence médiatique continu contrer gréviste acrimed action critique média
